checking_status,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,default,thin_file,income_proxy,country
A13,6,A34,A40,387.0,A61,A75,1,A93,A101,4,A121,46,A143,A152,2,A173,2,A191,A202,1,0,1,6832.0,INDIA
A12,6,A33,A42,252.0,A61,A71,4,A93,A101,1,A122,35,A142,A152,2,A174,1,A192,A201,1,0,0,6275.0,INDIA
A12,48,A32,A40,2387.0,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,0,0,28965.0,INDIA
A11,12,A32,A40,240.0,A65,A73,4,A94,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,2,1,0,3712.0,INDIA
A12,8,A32,A42,338.0,A61,A73,3,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,2,1,1,5087.0,INDIA
A14,12,A34,A43,408.0,A61,A75,2,A93,A101,4,A121,63,A143,A152,2,A172,1,A192,A201,1,0,0,11564.0,INDIA
A12,18,A32,A49,1348.0,A61,A75,1,A93,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,1,0,0,31580.0,INDIA
A12,27,A30,A49,2638.0,A61,A75,2,A92,A101,4,A124,42,A143,A153,2,A174,1,A192,A201,2,1,0,57701.0,INDIA
A14,10,A32,A40,383.0,A63,A73,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,1,1,1,4247.0,INDIA
A11,36,A32,A40,2675.0,A61,A74,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,2,1,0,38102.0,INDIA
A14,18,A34,A43,676.0,A61,A73,2,A92,A101,1,A123,25,A143,A152,2,A173,1,A191,A201,1,0,1,14997.0,INDIA
A12,48,A30,A49,1007.0,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,2,1,1,17807.0,INDIA
A11,24,A34,A43,374.0,A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A174,1,A192,A201,1,0,0,10198.0,INDIA
A14,18,A34,A43,700.0,A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,1,0,0,17121.0,INDIA
A14,24,A34,A43,908.0,A62,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,1,0,0,17138.0,INDIA
A14,18,A32,A43,1472.0,A61,A72,3,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,0,1,35610.0,INDIA
A12,12,A32,A40,165.0,A61,A74,2,A94,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,2,1,0,4648.0,INDIA
A11,6,A32,A43,729.0,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1,0,0,13934.0,INDIA
A12,30,A32,A40,610.0,A61,A73,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,2,1,1,13608.0,INDIA
A11,12,A32,A40,319.0,A61,A72,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,2,1,1,8667.0,INDIA
A14,10,A32,A48,238.0,A65,A74,4,A92,A101,3,A122,40,A143,A152,1,A173,1,A192,A201,1,0,0,3660.0,INDIA
A11,24,A32,A41,951.0,A65,A75,4,A93,A101,4,A124,49,A141,A153,1,A173,2,A192,A201,1,0,1,25300.0,INDIA
A12,18,A34,A43,298.0,A61,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2,1,0,3790.0,INDIA
A13,18,A32,A40,541.0,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1,0,0,12125.0,INDIA
A11,12,A32,A40,234.0,A61,A74,4,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,2,1,0,5798.0,INDIA
A14,12,A32,A43,604.0,A65,A73,4,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,1,0,0,13178.0,INDIA
A11,18,A30,A42,867.0,A61,A72,1,A92,A101,4,A122,26,A143,A151,1,A173,1,A191,A201,2,1,1,17098.0,INDIA
A13,15,A32,A46,610.0,A61,A75,4,A93,A101,4,A123,40,A143,A151,1,A174,1,A192,A201,1,0,0,13338.0,INDIA
A13,24,A32,A43,350.0,A63,A73,3,A92,A101,3,A123,57,A143,A152,1,A172,1,A191,A201,1,0,0,4784.0,INDIA
A12,12,A30,A48,351.0,A61,A73,2,A93,A101,2,A121,31,A143,A152,1,A172,1,A192,A201,1,0,0,5193.0,INDIA
A12,18,A30,A42,786.0,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,0,1,12380.0,INDIA
A12,9,A34,A43,366.0,A61,A75,2,A93,A101,4,A121,37,A143,A152,3,A172,1,A191,A201,1,0,0,7877.0,INDIA
A13,10,A34,A43,351.0,A65,A74,4,A93,A101,2,A122,27,A143,A152,2,A173,1,A192,A201,1,0,1,6591.0,INDIA
A12,9,A34,A43,324.0,A61,A75,2,A93,A101,4,A121,37,A143,A152,3,A172,1,A191,A201,1,0,1,4958.0,INDIA
A13,6,A33,A43,168.0,A61,A72,2,A92,A101,1,A122,29,A141,A152,1,A173,1,A191,A201,1,0,1,4458.0,INDIA
A12,11,A34,A40,362.0,A64,A73,4,A92,A101,4,A123,40,A143,A152,2,A173,1,A191,A201,1,0,0,6364.0,INDIA
A11,12,A32,A40,434.0,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,2,1,0,8181.0,INDIA
A14,12,A34,A49,332.0,A61,A73,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,1,0,0,6046.0,INDIA
A11,18,A32,A40,389.0,A61,A72,4,A92,A101,3,A123,23,A143,A151,1,A173,1,A192,A201,2,1,0,5525.0,INDIA
A11,24,A32,A40,314.0,A61,A72,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2,1,0,7497.0,INDIA
A12,48,A32,A40,2380.0,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,0,0,44965.0,INDIA
A14,12,A34,A40,361.0,A63,A73,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,1,0,1,4074.0,INDIA
A11,36,A32,A410,4371.0,A61,A71,2,A91,A102,3,A123,43,A143,A152,1,A174,1,A191,A201,1,0,1,122242.0,INDIA
A11,30,A30,A42,1198.0,A61,A73,2,A91,A103,2,A121,32,A143,A152,2,A173,1,A191,A201,1,0,0,30378.0,INDIA
A14,9,A34,A40,661.0,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,0,0,15689.0,INDIA
A11,36,A32,A42,1402.0,A61,A74,4,A93,A101,2,A122,29,A143,A152,1,A173,1,A191,A201,2,1,0,36867.0,INDIA
A11,18,A32,A42,320.0,A61,A71,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2,1,0,8627.0,INDIA
A12,48,A32,A43,979.0,A61,A74,4,A93,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,2,1,0,16584.0,INDIA
A12,18,A34,A42,1871.0,A61,A71,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,1,0,0,40700.0,INDIA
A12,7,A32,A43,613.0,A61,A72,1,A92,A103,1,A121,45,A143,A152,1,A173,1,A191,A201,1,0,0,13311.0,INDIA
A11,36,A31,A42,661.0,A61,A75,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,2,1,1,10381.0,INDIA
A11,24,A34,A40,325.0,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2,1,1,4845.0,INDIA
A14,6,A32,A43,406.0,A61,A74,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,1,0,0,5280.0,INDIA
A14,36,A34,A40,1043.0,A61,A74,4,A93,A101,4,A123,37,A143,A152,2,A173,1,A192,A201,1,0,1,23576.0,INDIA
A14,15,A34,A43,369.0,A61,A73,4,A92,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,1,0,0,9131.0,INDIA
A12,24,A33,A49,1389.0,A65,A73,4,A93,A101,2,A122,37,A141,A152,2,A174,1,A192,A201,1,0,0,33882.0,INDIA
A14,12,A34,A42,414.0,A64,A74,3,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A202,1,0,1,6859.0,INDIA
A12,10,A32,A42,407.0,A61,A73,4,A91,A101,2,A123,31,A143,A152,1,A172,1,A191,A201,1,0,1,5947.0,INDIA
A11,12,A34,A41,377.0,A61,A75,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1,0,1,7157.0,INDIA
A14,18,A34,A41,1148.0,A61,A74,3,A93,A101,1,A123,27,A143,A152,2,A173,1,A191,A201,1,0,1,23676.0,INDIA
A11,24,A34,A43,341.0,A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A174,1,A192,A201,1,0,0,9267.0,INDIA
A11,24,A32,A40,1293.0,A61,A74,2,A93,A102,3,A122,31,A143,A152,1,A173,1,A192,A201,2,1,0,34131.0,INDIA
A14,18,A34,A43,356.0,A64,A73,4,A93,A101,3,A121,46,A143,A152,2,A173,1,A191,A201,1,0,0,9656.0,INDIA
A14,24,A32,A43,404.0,A61,A73,4,A94,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1,0,0,10490.0,INDIA
A11,24,A32,A40,351.0,A65,A73,4,A92,A101,4,A121,25,A143,A151,1,A173,1,A191,A201,2,1,0,9820.0,INDIA
A14,24,A32,A42,291.0,A65,A74,4,A93,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,1,0,0,5585.0,INDIA
A13,12,A32,A42,393.0,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1,0,1,4651.0,INDIA
A11,30,A34,A41,2563.0,A61,A75,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,0,1,31962.0,INDIA
A14,24,A32,A43,1661.0,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,2,1,1,29680.0,INDIA
A12,9,A32,A43,415.0,A61,A72,4,A92,A101,2,A123,22,A143,A152,1,A173,1,A192,A201,2,1,0,6447.0,INDIA
A11,24,A31,A43,399.0,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,2,1,0,5582.0,INDIA
A13,6,A34,A40,404.0,A61,A75,1,A93,A101,4,A121,46,A143,A152,2,A173,2,A191,A202,1,1,1,11222.0,INDIA
A12,18,A34,A42,1836.0,A61,A71,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,1,0,0,26511.0,INDIA
A12,48,A32,A43,1820.0,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,2,1,1,50751.0,INDIA
A14,9,A32,A49,459.0,A61,A74,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,0,0,11195.0,INDIA
A12,24,A33,A43,449.0,A62,A74,3,A92,A101,2,A122,23,A143,A151,2,A173,1,A192,A201,1,0,0,10004.0,INDIA
A12,24,A34,A410,3554.0,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,2,1,0,81379.0,INDIA
A11,36,A34,A46,2403.0,A61,A73,3,A92,A101,2,A124,25,A143,A152,2,A174,1,A192,A201,2,1,1,40452.0,INDIA
A13,12,A32,A43,969.0,A61,A73,3,A94,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1,0,0,21683.0,INDIA
A14,39,A32,A41,685.0,A63,A73,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,1,1,1,9786.0,INDIA
A13,24,A32,A43,347.0,A62,A75,4,A92,A101,2,A124,47,A143,A153,1,A173,1,A192,A201,1,0,1,9544.0,INDIA
A12,18,A34,A49,531.0,A65,A73,4,A94,A101,4,A121,28,A141,A152,2,A173,1,A191,A201,1,0,1,8661.0,INDIA
A13,24,A34,A49,361.0,A64,A73,2,A91,A101,4,A121,36,A143,A152,2,A173,1,A192,A201,1,0,0,5592.0,INDIA
A12,12,A32,A43,337.0,A61,A72,2,A93,A101,1,A123,22,A142,A152,1,A173,1,A191,A201,2,1,0,7925.0,INDIA
A14,18,A34,A40,305.0,A61,A72,4,A92,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,1,0,0,6879.0,INDIA
A11,12,A32,A40,279.0,A61,A73,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,0,1,5285.0,INDIA
A12,9,A34,A43,365.0,A61,A75,2,A93,A101,4,A121,37,A143,A152,3,A172,1,A191,A201,1,0,0,8078.0,INDIA
A14,12,A32,A42,452.0,A61,A74,3,A92,A101,4,A121,31,A143,A152,1,A172,1,A191,A201,1,0,0,6241.0,INDIA
A14,24,A32,A43,241.0,A65,A75,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,0,0,5507.0,INDIA
A11,24,A32,A43,603.0,A61,A72,4,A92,A101,4,A121,35,A143,A152,1,A173,1,A192,A201,2,1,0,9505.0,INDIA
A12,36,A33,A40,1919.0,A61,A73,2,A92,A101,2,A122,54,A143,A151,1,A173,1,A191,A201,1,0,1,30324.0,INDIA
A14,18,A32,A40,695.0,A65,A74,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,1,0,1,9629.0,INDIA
A14,24,A32,A41,645.0,A61,A72,4,A92,A101,1,A124,29,A143,A152,1,A174,1,A192,A201,1,0,0,10868.0,INDIA
A11,15,A32,A40,450.0,A61,A72,2,A93,A101,3,A121,36,A143,A152,1,A173,1,A191,A201,1,0,0,7574.0,INDIA
A14,15,A34,A43,335.0,A63,A73,2,A94,A101,2,A122,47,A143,A152,2,A172,1,A191,A201,1,0,1,6363.0,INDIA
A13,12,A32,A42,607.0,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,1,1,1,8711.0,INDIA
A11,48,A34,A41,1712.0,A61,A75,4,A93,A101,4,A124,46,A143,A153,2,A173,1,A192,A201,2,1,0,24648.0,INDIA
A12,48,A32,A42,2654.0,A61,A72,1,A92,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,2,1,1,54499.0,INDIA
A14,27,A32,A40,682.0,A61,A73,3,A92,A101,3,A121,21,A143,A151,1,A173,1,A191,A201,2,1,0,9049.0,INDIA
A12,20,A30,A41,1510.0,A62,A75,3,A94,A101,4,A123,31,A141,A152,2,A173,1,A192,A201,1,0,0,34918.0,INDIA
A14,21,A32,A41,1260.0,A65,A73,1,A93,A101,3,A123,26,A143,A152,1,A173,1,A191,A201,1,0,0,34793.0,INDIA
A11,15,A32,A44,325.0,A65,A73,4,A92,A101,2,A123,24,A143,A151,1,A173,1,A191,A201,2,1,0,6016.0,INDIA
A11,9,A32,A40,429.0,A61,A72,3,A93,A101,2,A124,27,A143,A153,1,A174,1,A192,A201,2,1,0,11523.0,INDIA
A14,12,A32,A43,405.0,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1,0,0,5156.0,INDIA
A14,24,A32,A41,1995.0,A65,A75,3,A93,A101,4,A123,41,A143,A152,1,A174,2,A192,A201,1,0,0,23453.0,INDIA
A14,48,A33,A43,3574.0,A63,A74,4,A93,A101,1,A123,37,A143,A152,1,A174,1,A192,A201,1,0,1,84690.0,INDIA
A11,18,A30,A49,877.0,A61,A74,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,0,0,21394.0,INDIA
A14,21,A34,A40,3353.0,A65,A75,4,A93,A101,4,A124,30,A143,A153,1,A174,1,A192,A201,2,1,1,86634.0,INDIA
A12,16,A34,A40,356.0,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,0,0,4272.0,INDIA
A14,6,A34,A40,109.0,A62,A73,4,A92,A101,4,A123,52,A143,A152,2,A172,1,A191,A201,1,0,1,2689.0,INDIA
A14,6,A34,A43,382.0,A62,A73,1,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1,0,1,6734.0,INDIA
A14,30,A32,A43,731.0,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,1,1,11944.0,INDIA
A11,9,A34,A45,354.0,A62,A75,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1,0,0,4972.0,INDIA
A11,15,A32,A40,424.0,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,0,1,12097.0,INDIA
A11,36,A34,A41,2944.0,A61,A74,4,A93,A101,4,A123,24,A143,A152,2,A173,1,A192,A201,2,1,0,35683.0,INDIA
A14,24,A32,A43,839.0,A61,A72,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1,0,0,21441.0,INDIA
A14,10,A32,A48,283.0,A65,A74,4,A92,A101,3,A122,40,A143,A152,1,A173,1,A192,A201,1,1,1,6298.0,INDIA
A11,24,A34,A41,727.0,A61,A75,4,A93,A101,4,A122,63,A143,A152,2,A173,1,A192,A201,1,0,0,17403.0,INDIA
A14,24,A34,A45,1771.0,A61,A75,3,A93,A101,4,A124,44,A143,A153,2,A173,1,A191,A201,1,0,1,41665.0,INDIA
A12,18,A32,A49,1344.0,A61,A75,1,A93,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,1,0,0,35090.0,INDIA
A12,12,A34,A41,457.0,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1,0,0,6505.0,INDIA
A14,12,A32,A40,406.0,A63,A73,2,A92,A101,2,A122,26,A143,A152,1,A173,1,A191,A201,2,1,0,4472.0,INDIA
A11,6,A32,A46,108.0,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,2,1,1,2326.0,INDIA
A12,36,A30,A49,591.0,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,2,1,0,10182.0,INDIA
A12,15,A34,A43,832.0,A65,A74,4,A93,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,1,0,0,10965.0,INDIA
A12,18,A32,A43,375.0,A61,A75,4,A94,A103,2,A121,32,A143,A152,1,A172,1,A191,A201,1,0,0,5354.0,INDIA
A14,21,A32,A49,487.0,A64,A75,4,A92,A101,4,A121,36,A141,A152,1,A172,1,A191,A201,1,0,0,8200.0,INDIA
A12,12,A32,A42,242.0,A64,A72,1,A92,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,1,0,0,2961.0,INDIA
A14,21,A33,A49,674.0,A63,A72,4,A93,A101,2,A121,41,A141,A152,1,A172,2,A191,A201,2,1,1,8089.0,INDIA
A14,21,A32,A40,759.0,A63,A74,1,A92,A101,2,A123,31,A141,A152,1,A174,1,A191,A201,1,0,1,20586.0,INDIA
A12,12,A32,A43,264.0,A61,A73,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,1,0,0,4354.0,INDIA
A12,36,A32,A40,3947.0,A61,A75,4,A93,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,2,1,0,111650.0,INDIA
A14,21,A34,A41,852.0,A61,A75,1,A93,A101,4,A123,36,A143,A152,1,A174,1,A192,A201,1,1,1,23833.0,INDIA
A14,6,A32,A40,953.0,A61,A73,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201,1,0,0,12874.0,INDIA
A13,36,A32,A43,1152.0,A61,A73,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,2,1,0,27167.0,INDIA
A14,30,A32,A43,728.0,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,0,1,15706.0,INDIA
A13,12,A31,A43,107.0,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1,0,0,2478.0,INDIA
A14,60,A32,A43,3176.0,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1,0,1,40313.0,INDIA
A14,9,A34,A46,256.0,A63,A75,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,0,0,3666.0,INDIA
A14,24,A34,A43,693.0,A61,A75,4,A94,A102,3,A121,46,A143,A152,2,A173,1,A191,A201,1,0,1,8558.0,INDIA
A12,18,A32,A45,1085.0,A61,A71,2,A92,A101,4,A123,67,A143,A152,1,A173,1,A192,A201,1,0,0,23472.0,INDIA
A11,12,A33,A40,367.0,A61,A73,4,A93,A101,2,A121,43,A143,A152,2,A172,2,A191,A201,1,0,0,10410.0,INDIA
A12,18,A32,A40,1523.0,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1,0,0,34765.0,INDIA
A11,6,A32,A41,379.0,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1,0,1,8910.0,INDIA
A13,9,A32,A43,282.0,A62,A75,2,A91,A101,4,A121,49,A143,A152,1,A173,1,A191,A201,1,0,0,7989.0,INDIA
A14,24,A34,A41,588.0,A65,A74,4,A93,A101,4,A123,43,A143,A152,2,A173,2,A192,A201,1,0,1,13485.0,INDIA
A11,15,A32,A49,230.0,A61,A73,4,A92,A101,4,A122,22,A143,A152,1,A172,1,A191,A201,1,0,1,2693.0,INDIA
A11,18,A32,A43,513.0,A61,A73,4,A92,A101,4,A123,25,A141,A151,2,A173,1,A191,A201,2,1,0,13471.0,INDIA
A12,12,A32,A40,2295.0,A65,A71,1,A92,A101,2,A121,24,A143,A151,1,A171,1,A191,A201,1,0,0,39975.0,INDIA
A12,36,A34,A43,607.0,A61,A75,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,0,0,6724.0,INDIA
A14,24,A34,A43,1630.0,A61,A72,3,A94,A101,3,A124,47,A143,A153,3,A173,1,A192,A201,1,0,0,32482.0,INDIA
A13,6,A34,A40,408.0,A61,A75,1,A93,A101,4,A121,46,A143,A152,2,A173,2,A191,A202,1,1,1,11217.0,INDIA
A14,6,A34,A40,80.0,A64,A73,2,A92,A101,2,A121,41,A141,A152,2,A172,1,A191,A201,1,0,0,1242.0,INDIA
A13,42,A30,A49,1940.0,A61,A72,2,A91,A101,1,A122,33,A143,A152,2,A173,1,A191,A201,1,0,1,38122.0,INDIA
A14,24,A34,A40,505.0,A61,A73,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,1,0,0,7100.0,INDIA
A14,6,A34,A43,491.0,A61,A75,2,A94,A101,2,A121,30,A143,A151,2,A173,1,A191,A201,1,0,1,5900.0,INDIA
A14,6,A34,A40,1706.0,A61,A74,1,A93,A101,3,A124,45,A143,A152,2,A174,2,A192,A201,1,0,0,21184.0,INDIA
A11,21,A32,A43,1030.0,A64,A72,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,0,1,24509.0,INDIA
A14,24,A32,A42,267.0,A65,A74,4,A93,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,1,0,1,6997.0,INDIA
A11,15,A32,A40,448.0,A61,A72,2,A93,A101,3,A121,36,A143,A152,1,A173,1,A191,A201,1,0,0,6058.0,INDIA
A14,15,A32,A46,1461.0,A62,A73,3,A93,A101,2,A122,40,A143,A152,1,A174,1,A192,A201,2,1,0,23485.0,INDIA
A12,12,A34,A42,896.0,A61,A75,1,A93,A101,4,A123,28,A143,A151,3,A173,1,A192,A201,1,0,0,12932.0,INDIA
A11,24,A33,A40,1390.0,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2,1,0,15947.0,INDIA
A13,36,A32,A43,1168.0,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,0,0,24225.0,INDIA
A13,9,A32,A43,274.0,A62,A75,2,A91,A101,4,A121,49,A143,A152,1,A173,1,A191,A201,1,0,0,6389.0,INDIA
A11,30,A32,A42,896.0,A61,A72,2,A91,A101,4,A122,31,A143,A152,1,A172,1,A191,A201,2,1,0,20073.0,INDIA
A11,36,A34,A42,720.0,A61,A73,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,1,0,1,12837.0,INDIA
A14,36,A33,A42,1871.0,A63,A74,2,A92,A101,4,A123,40,A143,A152,2,A173,1,A192,A201,1,0,0,38857.0,INDIA
A14,24,A32,A42,861.0,A63,A75,4,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1,0,0,10897.0,INDIA
A11,36,A32,A40,844.0,A61,A74,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,1,0,0,11576.0,INDIA
A14,12,A34,A42,568.0,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,0,1,15563.0,INDIA
A11,15,A32,A40,348.0,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,0,0,8492.0,INDIA
A14,15,A34,A42,1059.0,A61,A73,4,A93,A101,2,A124,28,A143,A153,1,A173,1,A192,A201,1,0,1,28847.0,INDIA
A12,12,A34,A40,625.0,A62,A72,4,A93,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,1,0,0,16958.0,INDIA
A14,15,A34,A43,464.0,A61,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A192,A201,1,0,1,10407.0,INDIA
A11,36,A32,A42,960.0,A61,A73,1,A93,A103,2,A122,37,A143,A152,1,A173,2,A191,A201,1,0,1,26244.0,INDIA
